cid,text,time,author,channelId,videoId
UgwI1kOaX2utvLtGqOV4AaABAg.ABcg4DyicvnABhoUgM9zVa,⁠ @hiliate you are literally the only person I’ve ever seen write “the ha sister hate eachother so much”. Hahaha nobody thinks that. 😂,3 months ago,@Ego-de4dt,UCseq0gE8VnCnZxI6MEmGhhA,pvnZkavIIzc
UgwzRzqKU-H0j-1Chud4AaABAg.ABcr_bLNHDKABeXGkaeaCx,Emily is the MAKNAE💜 (iykyk),3 months ago,@jeongmin001,UCshFd_DnssErpvHLzbm92-g,pvnZkavIIzc
UgwzRzqKU-H0j-1Chud4AaABAg.ABcr_bLNHDKABeuJRbMZGX, @jeongmin001 AHHH NINGNING,3 months ago,@myjeongmini,UCh5dqE4ZSLXuS5RUZaoED1w,pvnZkavIIzc
UgwzRzqKU-H0j-1Chud4AaABAg.ABcr_bLNHDKABew3TUhWWa, @jeongmin001 which means shes the youngest,3 months ago,@gwshunny,UCHCR2K_xI1DROJmwavFD3cw,pvnZkavIIzc
UgwzRzqKU-H0j-1Chud4AaABAg.ABcr_bLNHDKABfPAODGYxS,⁠ @jeongmin001 AND THE FACT THAT SHE ATE FIRST IS CRAZY,3 months ago,@yfioland,UCVXG2R-zDZUQXAcrFH9FcxQ,pvnZkavIIzc
UgwzRzqKU-H0j-1Chud4AaABAg.ABcr_bLNHDKABnk3F6jLhg, @jeongmin001  like i’m not trying to be messy 💜,3 months ago,@wony_stvr,UCF_d9MrDKCQLWMbxRMRyH_w,pvnZkavIIzc
UgwzRzqKU-H0j-1Chud4AaABAg.ABcr_bLNHDKABqrosV80dI,"Wait Emily is the maknae in korea you cant eat untill the elders eat, Im not trying to be messy",3 months ago (edited),@1_lsfm_defender,UCyCwWFEZVSthOi8RIdM5rkw,pvnZkavIIzc
UgwzRzqKU-H0j-1Chud4AaABAg.ABcr_bLNHDKADjI2gd4wXL, @1_lsfm_defender i’m NOT tryna be messy💜 emily is the maknae and the fact that she ate first is crazy,2 months ago,@therealjumpscare,UCMTdUvC_bfouSxYdauURnng,pvnZkavIIzc
Ugzt-UiXj8hKgESUU3t4AaABAg.ABcb3GMuBczABciehr-kqg,Aww💔 I hope your feeling better now queen!,3 months ago,@kookuraa,UCN8yKZ7BXbmw4zqd54Uv67g,pvnZkavIIzc
Ugzt-UiXj8hKgESUU3t4AaABAg.ABcb3GMuBczABcj1loxgv_,@ thankk youu❤️,3 months ago,@faraafbrynt,UC1O9PfwKmNlwKt4vecHjCFQ,pvnZkavIIzc
Ugzt-UiXj8hKgESUU3t4AaABAg.ABcb3GMuBczABcr6KEl8FT,"same haha, but I break up 5month ago and since that I found this gooddamn funny sister, they really make me happy",3 months ago,@aalinaeux,UC-mG7LhaLwPlOkn7_jhHyUQ,pvnZkavIIzc
Ugzt-UiXj8hKgESUU3t4AaABAg.ABcb3GMuBczABdLC2H3BKT,so sorry girly but u deserve so much better❤❤❤❤,3 months ago,@Ilovegod-r5f,UCV6Ryatl-pHHLfyyA4DkMFA,pvnZkavIIzc
Ugzt-UiXj8hKgESUU3t4AaABAg.ABcb3GMuBczABdNi71v6yq,HEYY I HOPE YOU'LL GET BETTER SOON DONT STRESS YOURSELF TOO MUCH AND ALSO MAKE SURE TO WATXH THEIR OLD VIDOES BC THEYRE REALLY FUNNY TOO ITLL CHEER U UP❤❤,3 months ago (edited),@jaythen3964,UCSfc8V2ZyDT5jkFGH4DWN2w,pvnZkavIIzc
Ugzt-UiXj8hKgESUU3t4AaABAg.ABcb3GMuBczABecpdv7Sec,"I hope you divert yourself somehow, more love and power to you! 🤍",3 months ago,@anonymous-sz8jq,UC6Jzm1M7lWYkgBc9pCmIgMw,pvnZkavIIzc
Ugzt-UiXj8hKgESUU3t4AaABAg.ABcb3GMuBczABia7wNqsKH,i JUST got out of a 2 year relationship trying to cope 🥲,3 months ago,@szalover3538,UC9LwVgtZn5j1DMsvIRZAQRw,pvnZkavIIzc
Ugzt-UiXj8hKgESUU3t4AaABAg.ABcb3GMuBczABkYWYkFsUp,"I hope you feel better!❤ if you ever feel like you’re going through something alone, Evelyn and Emily and Erica can most definitely make you laugh and forget everything ❤",3 months ago,@Nyie.,UCoyNxzZ-UEPqX0NVdp5o6_Q,pvnZkavIIzc
