cid,text,time,author,channelId,videoId
Ugz1myZrXkR-JLIa3uR4AaABAg,hell yea issa vibe,3 weeks ago,@Bidness-k6m6u,UC4ND34q8c0GqPR1XAOkcYSw,JOksXpBtOUc
UgwHLzuT7eSmuGbl1TR4AaABAg,Perfect choice of music! 💜,10 days ago,@OJb2b,UCuR9e_F0X4k1pRUgBGARY3g,JOksXpBtOUc
Ugwc9TjtC7aidKJmwFZ4AaABAg,smooth 💕,11 days ago,@vennett_music,UCPif2jYiOSeNIuP2aGWlB_g,JOksXpBtOUc
UgwlSConGi3vkWfHgdl4AaABAg,Cool vibes❤,6 days ago,@PrithviBhaskar-v7z,UCh9X6Ij_wFemV43laqH0Ozw,JOksXpBtOUc
UgyY_68VvfjDgCMsOUZ4AaABAg,Awesome 🙌,9 days ago,@bharatgupta76,UC24LxZNZQNSUM9OIDpw_fhg,JOksXpBtOUc
Ugzn7a1Lpnm5B8PDdmV4AaABAg,Love.,2 weeks ago,@SpaceTeamEnterprise,UCLPBh2OVJh1-rF6ZjH4Twyg,JOksXpBtOUc
Ugwl5Web1kQpQ8_qY7J4AaABAg,Beautifuuuuuuuul,2 days ago,@darylcarreon3980,UCFO5ED9UK4F3iGYLfrzXo-w,JOksXpBtOUc
UgykmoRK_L4lBVCAqxN4AaABAg,Отличный сэт!,6 days ago,@3agoskin,UCgN2chipYho7uc88-nlzuxQ,JOksXpBtOUc
Ugy8GI6E9DCjsNmoKT54AaABAg,Rocking with you in Amsterdam!,13 days ago,@digitalhealthcast9724,UCR5dPZ2leiCSGwuvfYkCrJQ,JOksXpBtOUc
Ugxzjz046dsrYUSE4vB4AaABAg,"Mark my words, this channel is gonna boom real soon ❤",8 days ago,@bluefrag3868,UCoxR9IQw8K2aLoAaL2-7OSA,JOksXpBtOUc
Ugyq_aVhIdG4t6yueWx4AaABAg,"really nice selection. Also good transitions :)
Love😘🙏",2 weeks ago,@firescroll,UC28jYPMZGyvLrhCelcHZ_Mg,JOksXpBtOUc
UgzOj-yosH27W0NTNTd4AaABAg,Awesome set. Deserves some love ❤,2 weeks ago,@memosales6985,UCEDFT6QzDp8U9KvMGaSv8iA,JOksXpBtOUc
UgxrKu9t_9qEqqCxcEh4AaABAg,"Shoutout from the East Bay, CA - tough",2 weeks ago,@inthatfashion8311,UCJiH4ox11FuHkKjIW53H_bw,JOksXpBtOUc
UgyjnJnEs1ipXYl0DLR4AaABAg,стиль!,3 weeks ago,@anton_konev,UCdwG9fwZu_vLGdqfew513uQ,JOksXpBtOUc
UgyHtJF2rfCGO-IQFwl4AaABAg,Slaps,6 days ago,@ishaantrehan3272,UC-fHAyuPuGoPLK_Jbaka-hg,JOksXpBtOUc
UgxopISdm46SnALI6Rl4AaABAg,VIBES,10 days ago,@Burd805,UC-pCEm_ne1DqIaCJTi2fpOQ,JOksXpBtOUc
UgwTl22OXbfsGFCVTVN4AaABAg,❤❤,10 days ago,@AldoFelt,UCJP3FFEwDcl1qNaYShZJzYw,JOksXpBtOUc
UgxRe5QUfbuPlHTVPAp4AaABAg,📍,1 day ago,@vanessayvette_,UCQp5riyd2OmXz-qOBj4wrNA,JOksXpBtOUc
Ugw7qTLEBrCfnKf0QNJ4AaABAg,The Get Down,2 weeks ago,@patv79,UCnrc2onbPg7T50QcYVWHwRg,JOksXpBtOUc
UgwDZAOba0cHEFLJpHd4AaABAg.AFj6gRiNC35AFj80sKdbAe, @lenninjhoselincabellocarri6245  ❣️🔥💃,2 days ago,@andfriendsradio,UCtz9yx2fp7f7StXeuXmQJEg,JOksXpBtOUc
UgwHLzuT7eSmuGbl1TR4AaABAg.AFPWhdrL5GfAFPZO_2O1g1, @OJb2b  cheers ☕🙌🏼,10 days ago,@andfriendsradio,UCtz9yx2fp7f7StXeuXmQJEg,JOksXpBtOUc
Ugwc9TjtC7aidKJmwFZ4AaABAg.AFNDt3jHvB6AFNFI_l7EHP, @vennett_music  💐,11 days ago,@andfriendsradio,UCtz9yx2fp7f7StXeuXmQJEg,JOksXpBtOUc
Ugy8GI6E9DCjsNmoKT54AaABAg.AFILRSR4gprAFMskIKMj3v, @digitalhealthcast9724  😏🥂,11 days ago,@andfriendsradio,UCtz9yx2fp7f7StXeuXmQJEg,JOksXpBtOUc
Ugxzjz046dsrYUSE4vB4AaABAg.AFUmlX4d6F9AFZAolRh41r, @bluefrag3868  😏🥂,6 days ago,@andfriendsradio,UCtz9yx2fp7f7StXeuXmQJEg,JOksXpBtOUc
UgxrKu9t_9qEqqCxcEh4AaABAg.AFDpHOuTiEnAFMsdId79qh, @inthatfashion8311  🌞🌞🌞,11 days ago,@andfriendsradio,UCtz9yx2fp7f7StXeuXmQJEg,JOksXpBtOUc
UgxopISdm46SnALI6Rl4AaABAg.AFOR9JBkj1hAFOUKJycKAb, @Burd805  💃💃💃,10 days ago,@andfriendsradio,UCtz9yx2fp7f7StXeuXmQJEg,JOksXpBtOUc
UgxN4htVHrmiIiExKad4AaABAg,"my coffee is gone chilling i wonder why lol xd

🔥🔥🔥🔥",9 days ago,@rajpandya5919,UCAPJQ06RN51_Bhx4rRB4A4g,JOksXpBtOUc
Ugyt1jHn1yP6qSF4L-N4AaABAg,Nice Set <y3,12 days ago,@PhoenixWave23,UCn5m29AxlK-JY0Mj-UF6GHA,JOksXpBtOUc
UgxcHQl9Q2RQVO9wNsp4AaABAg,Weedsupp!!!!!!,1 day ago,@remotemanagement4686,UC1JA1syJ1VCT2dtvlVe5OIw,JOksXpBtOUc
UgwwNr0y9p7cx0fvnhN4AaABAg,ну че за кайф,3 weeks ago,@dashamus,UCxwa8fQno3s-nisv96KQU4Q,JOksXpBtOUc
UgxnCY9Nztdz3izS_HF4AaABAg,Get Up To Get Down,2 weeks ago,@patv79,UCnrc2onbPg7T50QcYVWHwRg,JOksXpBtOUc
UgyqTTSQGGaT3o3A5Ph4AaABAg,The perfect blend of smooth jazz elements and deep house energy!,2 weeks ago,@hill_Jazz_Grooves,UChQk0G0RA3wApq8A41s6e_A,JOksXpBtOUc
